title,company,location,updated_time,url
"Senior Staff Software Engineer, Cryptography 資深密碼學工程師",CYBAVO 博歐科技有限公司,臺北市,1613984645,https://www.yourator.co/companies/CYBAVO-Inc/jobs/27452
"軟體工程師-Infra Team Software Engineer, C++ ",VICI Holdings 威旭資訊,臺北市,1613984645,https://www.yourator.co/companies/VICIholdings/jobs/26853
"軟體工程師-交易組 Software Engineer, C++ ",VICI Holdings 威旭資訊,臺北市,1613984645,https://www.yourator.co/companies/VICIholdings/jobs/26914
【B01~B05】雲端專案工 程師(PE)/ 專案經理 (PM),中華電信,臺北市,1613984645,https://www.yourator.co/companies/CHT/jobs/27970
【B10】AI 新興應用系統/研發工程師,中華電信,臺北市,1613984645,https://www.yourator.co/companies/CHT/jobs/27979
【B12】數據分析專案工程師,中華電信,臺北市,1613984645,https://www.yourator.co/companies/CHT/jobs/27980
軟體工程師 (Software Engineer),星普思管理諮詢有限公司 Synpulse Taiwan Ltd.,臺北市,1613984645,https://www.yourator.co/companies/Synpulse/jobs/27466
【採線上面談】系統整合軟體工程師 System Integration Engineer (台北),新加坡商鈦坦科技,臺北市,1613984645,https://www.yourator.co/companies/TITANSOFT/jobs/11255
Java軟體工程師,網際威信,臺北市,1613984645,https://www.yourator.co/companies/HiTRUST/jobs/26988
後端工程師｜Back-end Engineer,gogoout,臺北市,1613984645,https://www.yourator.co/companies/gogoout/jobs/5830
PHP Engineer(台北/嘉義)(可遠端),awoo,臺北市,1613984645,https://www.yourator.co/companies/awoo/jobs/26703
[VR BU] Backend Engineer - NodeJS,iStaging 愛實境,臺北市,1613984645,https://www.yourator.co/companies/iStaging/jobs/2120
後端工程師/Backend Development,"JGB SMART PROPERTY CO., LTD.",臺北市,1613984645,https://www.yourator.co/companies/jgbsmart/jobs/5682
Crypto Backend Engineer(街口金融科技),街口支付,臺北市,1613984645,https://www.yourator.co/companies/jkopay/jobs/28575
Backend Engineer,街口支付,臺北市,1613984645,https://www.yourator.co/companies/jkopay/jobs/26999
Senior Backend Developer,Dcard,臺北市,1613984645,https://www.yourator.co/companies/Dcard/jobs/520
Architect,Dcard,臺北市,1613984645,https://www.yourator.co/companies/Dcard/jobs/521
研發替代役｜雲端應用工程師,WebComm 偉康科技,臺北市,1613984645,https://www.yourator.co/companies/WebComm/jobs/25259
研發替代役｜軟體開發工程師（Java）,WebComm 偉康科技,臺北市,1613984645,https://www.yourator.co/companies/WebComm/jobs/25260
後端工程師,拓荒資本股份有限公司,臺北市,1613984645,https://www.yourator.co/companies/None-Capital/jobs/23410
後端工程師 (Senior) (本職務將於新辦公室報到),業安科技 Yallvend,臺北市,1613984645,https://www.yourator.co/companies/yallvend/jobs/28578
Senior Engineer - Backend 資深後端程式設計師 (Experience Center),奧美整合行銷傳播集團,臺北市,1613984645,https://www.yourator.co/companies/ogilvy/jobs/27834
後端工程師 (Junior),業安科技 Yallvend,臺北市,1613984645,https://www.yourator.co/companies/yallvend/jobs/28577
MCU 韌體工程師,業安科技 Yallvend,臺北市,1613984645,https://www.yourator.co/companies/yallvend/jobs/25849
【產品研發】Junior / Senior PHP 後端平台工程師,adGeek,臺北市,1613984645,https://www.yourator.co/companies/adGeek/jobs/11945
【產品研發】大數據平台工程師,adGeek,臺北市,1613984645,https://www.yourator.co/companies/adGeek/jobs/11947
【產品研發】AI 機器學習工程師 ,adGeek,臺北市,1613984645,https://www.yourator.co/companies/adGeek/jobs/24574
[RD] Junior IoT Device/System Integration Engineer (hybrid),慧景科技thingnario ,臺北市,1613984645,https://www.yourator.co/companies/thingnario/jobs/26236
[RD] 資深IoT軟韌體工程師 IoT Firmware Engineer （hybrid）,慧景科技thingnario ,臺北市,1613984645,https://www.yourator.co/companies/thingnario/jobs/11841
"[IOT] 軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",動力安全資訊股份有限公司 Dynasafe,臺北市,1613984645,https://www.yourator.co/companies/dynasafe/jobs/24466
[CNS] 雲端平台JAVA後端 工程師,動力安全資訊股份有限公司 Dynasafe,臺北市,1613984645,https://www.yourator.co/companies/dynasafe/jobs/24462
[CNS] 雲端平台JAVA後端 助理工程師,動力安全資訊股份有限公司 Dynasafe,臺北市,1613984645,https://www.yourator.co/companies/dynasafe/jobs/24463
【行銷科技】PHP Laravel工程師,愛酷智能科技AccuHit,臺北市,1613984645,https://www.yourator.co/companies/AccuHit/jobs/5462
Senior Data Engineer,深義分析 Deep Insight,臺北市,1613984645,https://www.yourator.co/companies/deepinsight/jobs/19931
 Web後端系統工程師,日商邦德電子商務股份有限公司,臺北市,1613984645,https://www.yourator.co/companies/hitobito/jobs/26614
【Java 後端軟體工程師】Java Backend Engineer,智鈦星平台,臺北市,1613984645,https://www.yourator.co/companies/gtstw/jobs/26086
Node.js 開發工程師,類神經網路 Aiii,臺北市,1613984645,https://www.yourator.co/companies/aiii/jobs/23949
【C++軟體開發工程師】C++ Software Engineer,智鈦星平台,臺北市,1613984645,https://www.yourator.co/companies/gtstw/jobs/26087
Sr. SW Engineer (Backend),BlueX,臺北市,1613984645,https://www.yourator.co/companies/bluextrade/jobs/10456
(遠端) 資深後端工程師,DeepHow,臺北市,1613984645,https://www.yourator.co/companies/Deephow/jobs/17455
PHP後端程式設計師/PHP工程師,可思科技股份有限公司,臺北市,1613984645,https://www.yourator.co/companies/codepulse/jobs/28636
 (Sr.) Backend Developer 後端工程師,OpenNet ,臺北市,1613984645,https://www.yourator.co/companies/OpenNet/jobs/9630
Linux Engineer ,木荷科技,臺北市,1613984645,https://www.yourator.co/companies/SchimaTech/jobs/28094
